UNITID,SA09MOT
100654,16100143
100663,42365752
100690,0
100706,27356289
100724,0
100751,125001923
100760,2439006
100812,5567625
100830,12101578
100858,100224546
100937,5795822
101028,2373415
101116,0
101143,3191429
101161,10650551
101189,2551928
101240,7802215
101286,7494367
101295,8434149
101301,2507921
101365,0
101435,3222805
101453,0
101462,1272573
101471,0
101480,19777704
101505,8228429
101514,9495654
101541,0
101569,4816464
101587,5908779
101602,3090683
101648,1100222
101675,0
101693,2504036
101709,9741859
101736,4229687
101879,21202856
101897,3548859
101912,0
101994,888147
102030,3567415
102049,20645389
102067,5807077
102076,2039910
102094,23826647
102234,4151404
102270,0
102298,1952580
102313,2816411
102368,0
102377,0
102395,0
102429,6316621
102553,33935335
102614,24994426
102632,6593060
102669,2321579
102845,0
103501,0
103893,0
103909,0
103927,0
103945,0
104090,0
104151,298228010
104160,6457250
104179,148507739
104346,5745748
104425,4865211
104577,5898711
104586,11065718
104665,0
104708,21436831
104717,13355816
105145,7815115
105154,24101654
105206,3822093
105297,3519628
105330,68849790
105349,2859353
105367,0
105428,11944920
105525,15407950
105534,0
105543,0
105589,2440235
105659,0
105668,1794109
105747,10916435
105792,4688074
105899,0
106041,0
106148,7119894
106245,28777015
106263,0
106306,387251
106342,3182358
106397,86656080
106412,4877541
106449,3324359
106458,29670713
106467,20106525
106485,5422958
106546,0
106625,2044151
106704,28693239
106713,1338970
106795,1103375
106810,369367
106883,1542150
106980,2107652
106999,858531
107044,15162022
107071,9710830
107080,6344737
107123,0
107141,2453926
107318,0
107327,933557
107460,1990952
107512,6033299
107521,708564
107549,924729
107558,2885584
107585,2576278
107600,1845570
107619,1997136
107637,1497965
107664,5836513
107725,1146231
107743,504050
107840,186000
107877,1416474
107974,1475590
107983,7802671
107992,1174251
108092,11920495
108232,1588697
108269,0
108667,0
108807,0
108852,0
108861,0
108870,0
109040,0
109086,0
109208,0
109350,0
109651,0
109785,8012893
109819,0
109907,0
110060,0
110097,0
110219,0
110246,0
110316,4259601
110334,0
110361,23627116
110370,7136258
110398,8507164
110404,2273198
110413,15664933
110422,80478528
110468,8226520
110486,29380176
110495,29922216
110510,40222704
110529,64061928
110538,40056660
110547,33695064
110556,65814660
110565,89687376
110574,34202976
110583,93745116
110592,59018508
110608,76563360
110617,67982496
110635,292628229
110644,179591708
110653,204352638
110662,330186434
110671,118159654
110680,203135626
110699,0
110705,166785724
110714,92829272
110778,0
110918,0
111045,0
111081,12540606
111188,5856636
111391,0
111434,0
111461,0
111638,0
111887,0
111896,0
111920,0
111939,0
111948,22459722
111966,0
112075,90000
112084,0
112127,0
112172,0
112190,0
112251,11513540
112260,22672835
112385,0
112394,0
112525,0
112561,0
112570,161483
112686,0
112826,0
113096,0
113111,0
113193,0
113218,0
113236,100000
113333,0
113537,0
113573,0
113582,0
113634,0
113698,6286992
113704,0
113856,0
113980,0
114114,0
114123,0
114266,0
114354,0
114433,0
114549,0
114585,0
114716,0
114734,0
114789,0
114813,3119772
114831,0
114840,0
114859,600000
114938,0
115001,0
115010,0
115083,0
115126,0
115214,0
115296,0
115393,0
115409,13081865
115728,2400610
115746,0
115755,24645564
115773,0
115861,0
115931,0
116226,168494
116439,0
116846,721401
117052,0
117104,0
117140,0
117168,1871013
117195,0
117247,0
117274,0
117520,0
117557,676000
117575,0
117627,6885809
117636,6371081
117645,0
117672,0
117681,0
117690,0
117706,0
117715,0
117724,0
117733,0
117751,102159
117788,0
117803,0
117867,0
117894,0
117946,57312895
118198,0
118347,0
118541,2101520
118684,0
118693,0
118718,0
118772,0
118888,7278866
118912,0
118930,0
118976,0
119058,6413605
119067,0
119137,0
119164,0
119173,7395314
119216,0
119270,0
119331,0
119605,0
119678,0
119775,0
120078,0
120166,0
120184,2463928
120254,20211507
120290,0
120342,0
120403,3296701
120421,0
120537,0
120661,0
120698,5409324
120768,0
120795,0
120838,0
120865,0
120883,19550239
120953,0
120971,0
121044,0
121150,45128657
121178,0
121257,9659875
121275,0
121309,13888305
121345,26535648
121363,0
121619,0
121691,17511771
121707,0
121886,0
121901,0
122117,0
122180,0
122205,0
122296,97381
122339,0
122375,0
122384,0
122409,85723944
122436,55014725
122454,496669
122506,3743222
122597,78401244
122612,0
122649,0
122658,0
122685,0
122694,0
122728,0
122746,0
122755,77628676
122782,0
122791,0
122834,0
122889,0
122931,65450114
122977,0
123013,0
123095,0
123165,10528878
123217,0
123280,0
123299,0
123341,0
123448,0
123457,1390003
123484,0
123509,0
123527,0
123554,19857229
123563,0
123572,24116580
123633,0
123642,0
123651,4575045
123679,0
123800,0
123916,0
123943,0
123952,4605401
123961,267641457
123970,0
124113,0
124283,0
124292,0
124487,0
124557,0
124706,0
124937,0
125028,0
125091,0
125170,0
125231,0
125462,0
125471,0
125499,0
125532,0
125718,0
125727,8241000
125763,0
125897,0
126012,0
126049,432916
126076,0
126100,0
126119,0
126182,5427851
126207,7613204
126289,7535439
126359,435868
126562,50147522
126580,32555817
126605,0
126614,173762361
126669,0
126678,21857836
126687,0
126711,5782486
126748,1233998
126775,34940636
126784,0
126818,118214657
126827,0
126863,2821123
126942,6867008
126951,0
126979,0
127060,68209862
127185,12198746
127200,15364861
127273,0
127389,774998
127556,19369006
127565,0
127617,1984017
127653,3247575
127714,0
127732,2665938
127741,29961458
127778,1214015
127820,11322260
127884,4724488
127909,4498228
127918,8877331
127945,0
128106,11011533
128179,0
128188,0
128258,2269907
128328,0
128391,8111127
128498,0
128577,0
128586,0
128744,8243916
128771,0
128902,17509616
129020,151445020
129154,0
129215,0
129242,32284071
129367,0
129428,470170
129491,0
129525,0
129534,56493
129543,0
129695,0
129729,0
129756,0
129774,0
129808,0
129941,20821771
130004,0
130040,0
130110,313104
130183,0
130217,0
130226,31526067
130253,22809476
130314,6463245
130396,0
130493,0
130590,21921715
130606,0
130624,0
130697,42898017
130776,0
130794,213551864
130907,0
130934,13071286
130943,134613710
130989,0
131098,4264143
131113,0
131159,89562850
131283,31404621
131399,17800223
131405,0
131450,9760125
131469,118325157
131496,112093373
131520,55483798
131803,3791312
131876,0
131973,0
132408,0
132471,13674748
132602,8443415
132657,0
132693,14445722
132709,20901901
132842,110770
132851,6671579
132879,0
132903,134855397
133021,0
133386,12288506
133465,0
133492,11758837
133508,11700404
133526,2086053
133553,29202407
133650,26788305
133669,66942703
133702,19437751
133711,8229967
133809,2322958
133845,0
133854,0
133863,0
133872,0
133881,20862582
133951,110117139
133960,0
133979,3239735
133997,0
134079,10546701
134097,142068935
134130,183595899
134237,0
134343,0
134422,0
134495,17195913
134510,0
134608,0
134811,0
134945,11995397
135081,0
135160,2961642
135188,3681504
135364,0
135391,7670356
135610,0
135717,0
135726,120311152
136145,949860
136172,37867093
136215,19328144
136233,0
136330,10129643
136358,17620507
136400,7976853
136473,6346763
136516,8567443
136701,811627
136774,7734792
136950,17360906
137032,8024287
137078,4470392
137096,12705206
137209,3930138
137272,0
137281,2903393
137315,677172
137351,118510136
137476,0
137546,25235586
137564,8031782
137759,9036909
137777,0
137801,0
137847,32007888
137953,0
137962,0
138187,0
138275,0
138293,0
138309,0
138354,24315717
138558,6296995
138600,6961885
138655,0
138664,0
138682,0
138716,10602028
138761,0
138813,0
138840,0
138868,2305110
138901,1863259
138929,0
138947,10666701
138956,0
139144,12272100
139153,0
139199,3840422
139205,0
139250,6177309
139278,0
139311,13267790
139348,0
139357,0
139366,18578241
139384,334895
139393,3756020
139463,9460055
139579,0
139621,3166290
139630,1892847
139658,99893790
139700,6012952
139719,5104233
139755,116562423
139764,6904148
139861,22403877
139931,69629649
139940,0
139959,184609382
139968,5328576
139986,0
139995,0
140003,0
140012,0
140146,0
140234,4236331
140243,0
140252,2494833
140331,0
140340,0
140447,24236439
140553,1837950
140678,0
140696,4847350
140720,814175
140818,5156302
140872,3500791
140942,0
140951,55234954
140960,7957584
140988,0
141006,0
141060,13815116
141167,2245566
141185,2142257
141237,0
141255,0
141264,24507480
141325,2743494
141334,29121218
141361,0
141486,5015052
141565,13666716
141574,94541704
141644,11201543
141680,6984108
141796,10413240
141802,3773304
141811,10308480
141839,4585872
141981,7138827
141990,3327840
142054,0
142090,0
142115,48202065
142179,2141602
142276,30775285
142285,43492892
142294,4400951
142328,8862649
142443,7418029
142461,3608300
142522,1343000
142559,5674201
142832,0
142887,360398
142957,305401
143048,15866787
143084,0
143118,9064298
143215,9010123
143233,0
143279,5934743
143288,2058128
143297,0
143358,25627875
143613,2379490
143659,1331036
143853,0
143978,0
144005,12586503
144014,0
144050,206221914
144157,4844699
144166,10145622
144175,4207517
144184,5514889
144193,4823785
144209,9197607
144218,8131495
144281,20081432
144351,2390588
144485,126750
144564,3640520
144740,89600812
144865,29004319
144883,560938
144892,26202305
144944,13386746
144962,11729833
144971,1719375
145239,0
145275,2403348
145336,0
145372,1610207
145497,0
145521,4266025
145558,0
145600,155242331
145619,10627659
145628,0
145637,267123404
145646,9049236
145682,11720823
145691,5003051
145707,2393255
145725,36829350
145813,66795600
145831,5546237
146205,0
146278,2629111
146296,21381321
146339,1576616
146348,4387576
146366,5593496
146418,3664991
146427,6688895
146472,21581888
146481,8152924
146490,0
146506,5852680
146533,242627
146603,7820580
146612,18769071
146667,1092271
146676,1482765
146685,10444302
146700,0
146719,69657819
146728,0
146755,0
146816,0
146977,0
147004,8736862
147013,4962335
147031,0
147129,2370188
147244,0
147341,5434098
147369,5102231
147378,0
147396,320164
147411,5645171
147536,0
147590,0
147660,12643579
147679,8694433
147697,0
147703,56265300
147767,233900428
147776,20224747
147800,13215835
147828,7309287
147916,12355793
148007,6240943
148016,4360333
148131,2585329
148256,2420700
148292,3702677
148380,8762207
148405,3729095
148487,13431867
148496,0
148511,104395
148575,0
148584,6504712
148593,1499478
148627,8914896
148654,14851284
148672,2839889
148821,1891073
148876,0
148885,0
148937,1815011
148982,0
148991,1916245
149028,0
149222,44536145
149231,37182634
149310,0
149329,0
149365,5251336
149505,3542611
149514,0
149532,7061986
149639,0
149727,8436156
149763,267454
149772,32896719
149781,18927759
149842,18375480
150048,0
150066,5959621
150136,68432028
150145,3212830
150163,24680115
150172,640992
150215,810089
150251,0
150288,0
150400,16560606
150455,5946973
150534,11638770
150604,3948373
150668,0
150677,3019493
150756,5822623
150774,704570
150941,4335504
150987,59828489
151102,20144747
151111,0
151263,15577301
151290,4277947
151306,16215039
151324,0
151333,0
151342,0
151351,0
151360,0
151379,0
151388,0
151467,0
151661,0
151777,4067569
151786,7820208
151801,19155853
151810,0
151865,0
151962,0
152080,149254171
152099,1722604
152318,17039170
152336,4468542
152381,0
152390,9612237
152451,833460
152530,7756277
152567,7412137
152600,16181000
152637,9055580
152673,7263615
152798,1113532
152992,2915831
153001,0
153108,6639441
153126,3366494
153144,7609153
153162,5626589
153214,20683680
153241,946218
153250,0
153269,19317162
153278,0
153296,1675583
153302,917482
153311,4644204
153320,939840
153366,2788390
153375,5401716
153384,20626220
153427,0
153445,5381863
153472,1784989
153524,5245198
153533,1203207
153603,132024411
153621,1561186
153630,4381230
153658,114306034
153737,11541808
153825,5929828
153834,10560666
153861,0
153922,3321995
153977,0
154004,4293089
154013,3552972
154022,0
154059,3388158
154095,33212600
154101,4384386
154110,4713903
154129,1929450
154156,0
154174,0
154235,10116536
154262,0
154350,4777682
154378,0
154396,1100954
154493,1989125
154518,2222448
154527,5029669
154536,0
154572,3726688
154590,2411677
154642,1545098
154688,4236066
154697,1550150
154712,0
154721,0
154749,1501998
154800,7858149
154855,0
154907,994415
154925,898941
154934,0
154952,2965488
154998,1845985
155007,551611
155025,13586342
155052,0
155061,22787667
155070,305251
155089,2355815
155098,493280
155104,3495112
155140,0
155177,1151170
155186,2600977
155195,3397659
155201,0
155210,20860691
155283,0
155292,0
155308,0
155317,105216568
155335,2541720
155399,65853060
155414,2314012
155450,1674278
155487,0
155496,0
155511,2450181
155520,1218138
155566,2299312
155593,2181217
155618,0
155627,1121448
155636,0
155681,16477315
155715,1316407
155812,1778005
155830,1314789
155858,2285978
155900,1828056
155937,0
155973,1265154
156082,17833766
156107,1503318
156125,33366339
156134,0
156189,1299462
156213,4833975
156222,3477804
156231,3041725
156286,9203864
156295,10485260
156338,3017052
156356,2034000
156365,6218713
156392,8662223
156408,9857411
156417,0
156471,0
156541,0
156620,32273465
156648,5244299
156727,0
156745,3964525
156790,3450353
156851,1464404
156860,2457507
156921,7875265
157021,0
157030,9216
157058,4184114
157076,2012928
157085,103566176
157100,891084
157207,0
157216,3319058
157289,0
157298,0
157304,3861602
157331,3831235
157377,1641499
157386,15281683
157401,22951625
157438,2398188
157447,36727543
157483,3938627
157535,3789065
157553,3762478
157711,5487790
157739,2654026
157748,0
157757,3153370
157793,0
157809,4874955
157818,5766550
157863,1872175
157951,41832619
158088,2077772
158343,0
158431,5372066
158477,3446879
158662,16145996
158802,3991237
158884,1491983
159009,8198566
159197,0
159373,0
159382,4182037
159391,107915320
159407,2378816
159416,10633363
159568,2867663
159647,23471218
159656,16856440
159717,15274897
159939,19419147
159948,0
159966,13213399
159993,14372013
160010,430356
160038,13620018
160065,4669706
160074,0
160409,0
160481,2626278
160524,0
160579,3420314
160612,29830655
160621,14629808
160630,4330374
160649,2610665
160658,45944195
160667,4131480
160755,81674891
160904,14220050
160959,0
160977,17833838
160995,0
161004,24640703
161022,0
161077,3051141
161086,24177031
161138,3388282
161192,2230496
161208,0
161217,6142743
161226,7789535
161235,1809477
161244,1632543
161253,44389414
161299,0
161341,1904219
161457,12315343
161484,2302278
161509,1284262
161518,3497257
161545,5460660
161554,23845804
161563,2206161
161572,1130365
161581,1126508
161688,0
161767,0
161864,0
161873,0
162007,16821452
162061,383513
162104,0
162122,0
162168,0
162210,0
162283,0
162557,0
162584,0
162609,0
162654,0
162690,0
162706,0
162760,6827507
162779,0
162928,141015271
163028,0
163046,0
163204,0
163259,0
163268,41790630
163286,155204378
163295,0
163338,9901545
163426,0
163453,28709320
163462,8345972
163532,0
163578,0
163657,0
163851,0
163912,0
163976,0
164076,0
164085,0
164155,0
164173,5911658
164216,7404182
164270,7647519
164313,0
164368,0
164447,3491244
164465,30287002
164492,2426551
164562,10158910
164580,29688167
164614,0
164632,2362119
164641,1234411
164720,2864636
164739,37677448
164748,29499973
164775,4006113
164872,0
164915,97749
164924,123895090
164988,207359837
165015,43907025
165024,29881500
165033,0
165112,10440209
165167,0
165194,0
165264,0
165334,21064792
165495,0
165529,10005708
165574,0
165644,1017287
165662,20963713
165671,7869441
165699,10795724
165802,0
165820,17042489
165866,16003718
165884,1880305
165936,0
165945,0
165981,3148524
166018,3552943
166027,251296909
166045,0
166054,0
166124,30689007
166133,7832144
166391,5693609
166407,0
166452,6139767
166489,746127
166513,69176020
166629,162650608
166638,66999084
166647,4905385
166656,3210784
166674,10138541
166683,236329012
166692,0
166708,0
166717,0
166823,0
166850,0
166869,0
166887,7431950
166911,1013000
166939,20730787
166957,4354356
167057,0
167093,0
167215,0
167260,0
167288,7067655
167312,7996345
167358,155741953
167376,5244351
167394,3257104
167455,0
167464,449398
167525,2984093
167534,6793826
167598,4581046
167631,2520000
167677,0
167729,0
167783,776829
167792,3317722
167835,33057114
167899,12791623
167905,7814834
167987,38496932
167996,14997468
168005,37757538
168148,66464961
168218,36966724
168227,14080960
168254,17307363
168263,20286098
168281,10091172
168342,37600242
168421,42938512
168430,16796169
168528,0
168546,8033488
168591,6034272
168607,3801491
168740,0
168786,4804650
168847,2719409
168883,0
169080,15997046
169099,0
169220,0
169248,58925639
169275,10144729
169327,0
169363,0
169424,840520
169442,5043173
169479,0
169521,15335633
169655,0
169716,20430023
169798,57279742
169910,33652240
169974,1855471
169983,8037110
169992,2055321
170000,0
170037,3544932
170055,13674436
170082,84194895
170091,0
170240,0
170286,0
170301,16954481
170444,0
170532,8456018
170541,10560969
170550,6991672
170587,0
170620,0
170639,5659698
170657,13212831
170675,7469967
170790,16834305
170806,4546576
170967,1920193
170976,337186059
171100,210881549
171128,38112337
171137,32745033
171146,19176154
171155,3930135
171225,4025905
171234,1617044
171304,7424852
171395,2812396
171456,22166555
171483,0
171492,3097060
171535,0
171571,52407306
171599,2534456
171881,0
172033,0
172051,20558760
172200,8646281
172264,4087219
172291,0
172307,3190416
172334,2301406
172440,983536
172477,0
172608,0
172617,0
172635,5089319
172644,83844159
172671,1990728
172699,63243302
172705,0
172866,0
172918,4913230
172954,4294438
172963,9564005
173045,10367644
173063,4846844
173115,1457108
173124,12921779
173142,2497958
173160,11918106
173203,5880625
173258,25238546
173300,9934245
173328,0
173416,4417846
173452,0
173461,5976855
173559,8146323
173638,5089743
173647,12463603
173665,10386777
173683,0
173708,7284819
173735,2673158
173799,6207625
173805,1723270
173896,0
173902,19333843
173911,6103962
173920,43526012
173993,2064056
174020,12637586
174066,197249234
174075,4210606
174127,2540996
174136,8394863
174154,0
174233,37200829
174251,6746335
174358,17630425
174376,7599984
174428,11512482
174437,2233466
174473,6033465
174491,0
174507,0
174525,0
174570,1725332
174604,374029
174738,8008805
174747,10184881
174756,6983156
174783,34155067
174792,10237771
174817,4996735
174844,16709900
174862,0
174899,5727827
174914,40839914
175005,11502128
175014,0
175041,8710650
175078,8950778
175139,0
175157,979228
175227,0
175236,6807150
175263,3697162
175272,25612160
175281,4865848
175315,11578741
175342,7346922
175421,0
175430,1698812
175519,1154545
175573,0
175616,7598619
175643,3236500
175652,3639026
175786,14476837
175810,4783476
175829,3757749
175856,18878184
175883,5543944
175935,4027786
175980,5307915
176008,3680895
176017,57745201
176035,5775421
176044,4907291
176053,12230528
176071,7856705
176080,59520116
176169,2992528
176178,5927883
176239,5701301
176318,0
176354,3645099
176372,37714706
176406,2567765
176451,0
176479,2426300
176600,0
176628,3439466
176664,394674
176770,3377063
176789,0
176910,0
176947,3871518
176965,26825050
177038,0
177065,4575785
177083,0
177092,0
177117,2549115
177126,0
177135,3860140
177144,2392374
177214,7095859
177250,3124279
177278,0
177302,0
177339,4563864
177418,3534672
177472,8129944
177542,1896741
177551,2246524
177676,4869567
177719,0
177746,3875052
177816,1019615
177834,0
177940,4996498
177968,9577313
177977,2395500
177986,0
177995,16589159
178059,8261207
178183,0
178208,0
178217,1799833
178244,2543639
178341,0
178369,391924
178387,10936080
178396,89719751
178402,31482070
178411,33354106
178420,25823720
178448,2520600
178518,0
178615,17931921
178624,15341159
178679,0
178697,6593069
178721,0
178767,0
178891,0
178989,0
179043,8584541
179159,63214338
179256,0
179265,1819252
179308,0
179317,0
179326,4522387
179344,1784338
179511,0
179539,0
179548,1771679
179557,24716423
179566,44557927
179645,1507103
179715,1199731
179812,0
179867,131402194
179894,13272547
179946,2716621
179955,3475579
179964,2229515
180054,0
180106,4566486
180151,634355
180160,40348
180179,8551386
180197,0
180203,0
180212,971890
180249,2141741
180258,1912166
180276,0
180328,424750
180373,1017385
180416,8736683
180461,6439311
180489,0
180522,0
180595,3242158
180647,3295000
180692,4339529
180814,0
180832,0
180878,0
180902,9820994
180948,5770537
180984,36000
181002,26411405
181020,4158300
181127,3185330
181145,0
181215,21526315
181297,0
181303,10508612
181312,0
181330,2072856
181394,39996669
181419,0
181428,4425117
181446,5491324
181464,108282194
181491,0
181534,3397250
181543,0
181604,0
181640,0
181738,0
181765,1100872
181783,8619974
181817,3760351
181853,1276915
181941,0
182005,38654379
182148,0
182281,84969583
182290,74936042
182306,4737924
182458,0
182500,11602171
182564,3693283
182634,2975218
182670,67625893
182795,3897210
182829,2907340
182917,0
182980,0
183026,0
183044,73931971
183062,15008680
183071,3696089
183080,13238867
183099,0
183105,0
183114,0
183123,0
183132,0
183141,0
183150,0
183211,0
183239,11790788
183248,0
183257,0
183275,0
183488,0
183655,0
183743,0
183789,0
183804,0
183822,5270191
183859,0
183877,0
183910,5939978
183938,0
183974,3502365
184180,0
184205,0
184348,10874363
184481,0
184603,10349148
184612,0
184694,9348199
184773,6755013
184782,0
184791,0
184959,0
184995,0
185129,0
185262,0
185509,0
185536,0
185572,0
185590,0
185721,0
185758,0
185828,0
185873,2977240
186034,0
186122,0
186131,186948801
186186,0
186201,23393573
186283,16475435
186371,0
186380,0
186399,0
186432,8076307
186469,60967
186584,31717432
186618,3268532
186645,0
186867,41233196
186876,0
186900,0
187134,0
187198,0
187444,0
187532,9132753
187596,4123844
187620,4764564
187639,1653615
187648,10389266
187666,0
187745,1715797
187897,7314352
187903,3863786
187912,3260150
187958,3539554
187967,10685383
187976,159116
187985,75420862
187994,1600088
188003,1710449
188021,607496
188030,41195270
188049,1771528
188058,1685916
188100,5681021
188137,3374164
188182,0
188207,0
188216,0
188225,1075101
188261,0
188304,5002674
188340,2885265
188429,40212791
188438,5867629
188517,0
188526,5311067
188535,0
188641,0
188678,0
188854,0
188915,0
188942,0
189015,0
189088,19923152
189097,32257934
189228,0
189273,0
189282,0
189413,0
189501,0
189547,979933
189565,0
189583,0
189592,0
189705,10521307
189811,0
189839,0
189848,3746619
189857,0
190044,22712663
190053,0
190071,0
190080,0
190099,35351916
190114,1329432
190150,280094015
190169,0
190248,0
190372,5968729
190415,227128884
190442,0
190451,0
190503,0
190512,52279824
190521,51876785
190530,25434738
190549,50542977
190558,35266491
190567,56330158
190576,27331970
190585,15913232
190594,67272629
190600,40912290
190619,29669576
190628,34962289
190637,37558006
190646,14455317
190655,37015165
190664,57908120
190673,36434097
190682,8062412
190691,18432858
190716,9949985
190725,6003185
190752,0
190761,5557300
190840,0
190956,0
190983,83500
191083,0
191126,0
191199,0
191205,0
191241,96004005
191302,2836304
191320,0
191339,3987393
191515,21567472
191533,7279521
191597,0
191612,0
191621,0
191630,14906429
191649,58199179
191676,3227385
191719,13448046
191931,14702978
191959,0
191968,40672272
191986,3359017
192004,235300
192022,0
192040,3513470
192110,8781613
192165,0
192192,0
192271,0
192323,12926015
192448,48339590
192509,0
192624,0
192688,0
192703,24823326
192712,5768352
192749,8684756
192785,1046480
192819,19990358
192864,0
192925,0
192961,0
193016,19217144
193052,0
193061,0
193070,0
193201,0
193247,0
193283,0
193292,18296671
193308,0
193326,0
193353,6878299
193380,0
193399,6100100
193478,34296746
193584,12110946
193654,43807309
193751,0
193821,0
193830,0
193858,0
193894,0
193900,339567357
193946,0
193973,13204567
194028,2545968
194073,0
194091,25592701
194161,2382277
194189,0
194222,0
194240,0
194310,51801612
194392,1903682
194499,1265615
194569,50000
194578,16789314
194657,0
194666,0
194693,0
194718,0
194736,0
194763,0
194824,47798079
194958,2321655
195003,94844546
195030,80876394
195049,0
195058,0
195128,5818312
195155,0
195164,0
195173,7711572
195191,0
195216,16350890
195234,11578319
195243,4052320
195289,0
195304,8193799
195322,0
195438,0
195474,0
195526,24364040
195544,13253349
195580,0
195702,0
195720,13479540
195784,0
195809,0
195988,1922527
196006,0
196015,0
196024,0
196033,0
196042,0
196051,0
196060,0
196079,0
196088,0
196097,0
196103,0
196112,0
196121,0
196130,0
196149,0
196158,0
196167,0
196176,0
196185,0
